,Unnamed: 0,Unnamed: 0.1,Building,ClientMacAddr,Level,lat,lng,localtime,datetime,waiting_time
58510,44821,165272,TPS2,60:1d:91:7c:e0:f1,Level 3,-22.81436264,-43.24730019,28:16.4,28:16.4,0
58519,45073,166132,TPS2,58:d9:c3:42:02:dc,Level 3,-22.81442763,-43.24716671,29:05.9,29:05.9,90.40128333
58520,45079,166150,TPS2,48:bf:6b:51:62:e0,Level 3,-22.81431045,-43.24746177,29:06.2,29:06.2,0
58521,45086,166162,TPS2,50:92:b9:1d:43:c4,Level 3,-22.81416009,-43.24754785,29:07.4,29:07.4,49.00616667
58531,45207,166560,TPS2,90:b0:ed:15:04:11,Level 3,-22.81431203,-43.24723856,29:27.8,29:27.8,24.29485
58542,45507,167572,TPS2,8c:45:00:8a:d8:4b,Level 3,-22.81435635,-43.24755777,30:20.6,30:20.6,52.25313333
58545,45561,167738,TPS2,0c:cb:85:c1:33:40,Level 3,-22.8143789,-43.2471828,30:27.2,30:27.2,98.68616667
58549,45686,168172,TPS2,98:10:e8:8f:da:c9,Level 3,-22.81438095,-43.24749117,30:47.2,30:47.2,75.31661667
58554,45773,168452,TPS2,38:d4:0b:94:ab:ed,Level 3,-22.81417505,-43.24724981,31:01.7,31:01.7,43.44831667
58556,45790,168510,TPS2,dc:bf:e9:54:3c:93,Level 3,-22.81422939,-43.24755499,31:05.7,31:05.7,1.67E-05
58558,45814,168590,TPS2,58:d9:c3:cc:67:e2,Level 3,-22.81429385,-43.24717542,31:09.9,31:09.9,120.9985333
58569,46022,169302,TPS2,dc:bf:e9:c5:8e:7d,Level 3,-22.81425201,-43.24730536,31:45.4,31:45.4,42.0095
58585,46344,170388,TPS2,70:fd:46:85:09:6c,Level 3,-22.81442332,-43.24717937,32:38.5,32:38.5,0
58586,46354,170414,TPS2,8c:f1:12:bd:49:9d,Level 3,-22.81414846,-43.24725627,32:39.0,32:39.0,9.763033333
58588,46358,170428,TPS2,d0:77:14:dc:59:94,Level 3,-22.81427373,-43.24722806,32:39.1,32:39.1,1.67E-05
58603,46734,171650,TPS2,f8:32:e4:ef:cb:e8,Level 3,-22.81450194,-43.24717496,33:37.7,33:37.7,66.69101667
58617,46997,172552,TPS2,24:2e:02:58:ec:5b,Level 3,-22.81435353,-43.2471267,34:21.0,34:21.0,13.01968333
58620,47076,172850,TPS2,10:7b:44:83:ff:ab,Level 3,-22.81420354,-43.24726697,34:35.2,34:35.2,0.4068
58623,47119,172982,TPS2,e4:90:7e:38:b7:3d,Level 3,-22.8144593,-43.24748725,34:40.7,34:40.7,45.3449
58654,47617,174603,TPS2,38:80:df:7a:0d:f6,Level 3,-22.81441642,-43.24754654,36:05.5,36:05.5,0
58663,47883,175481,TPS2,d4:c9:4b:2f:37:4f,Level 3,-22.81448566,-43.24720451,36:53.7,36:53.7,88.49198333
58667,48038,175941,TPS2,48:51:69:16:bc:90,Level 3,-22.81426452,-43.24731532,37:20.4,37:20.4,122.5151667
58674,48159,176406,TPS2,f0:d7:aa:e3:30:b0,Level 3,-22.81416437,-43.24754583,37:51.4,37:51.4,35.15213333
58683,48312,176897,TPS2,c0:8c:71:36:5b:ef,Level 3,-22.81451393,-43.24721041,38:16.7,38:16.7,63.67921667
58684,48315,176911,TPS2,fc:64:3a:64:d0:7c,Level 3,-22.81426745,-43.24733474,38:18.3,38:18.3,15.8893
58689,48480,177453,TPS2,48:49:c7:92:24:30,Level 3,-22.8145122,-43.24751626,38:47.6,38:47.6,99.70933333
58695,48687,178097,TPS2,30:cb:f8:bf:f1:06,Level 3,-22.81433155,-43.24749562,39:23.2,39:23.2,15.40198333
58701,48748,178327,TPS2,a0:c9:a0:f5:11:e5,Level 3,-22.81436723,-43.24720278,39:37.1,39:37.1,5.34485
58707,48855,178639,TPS2,f4:f5:24:55:53:94,Level 3,-22.81434276,-43.24744378,39:52.2,39:52.2,10.63335
58713,48929,178883,TPS2,44:59:e3:ff:8a:31,Level 3,-22.81429825,-43.24745745,40:08.8,40:08.8,0
58725,49172,179777,TPS2,ec:8c:9a:9b:35:19,Level 3,-22.81448412,-43.24713405,41:01.0,41:01.0,80.32273333
58727,49187,179833,TPS2,28:83:35:9f:b8:49,Level 3,-22.8144147,-43.24755653,41:04.0,41:04.0,0
58732,49341,180315,TPS2,f8:da:0c:84:8f:c1,Level 3,-22.81431779,-43.24721083,41:34.7,41:34.7,96.41375
58741,49440,180699,TPS2,f8:94:c2:8e:5f:a8,Level 3,-22.81451266,-43.24749433,41:57.1,41:57.1,76.46926667
58746,49591,181241,TPS2,34:41:5d:95:b3:39,Level 3,-22.81442566,-43.24756351,11/28/19 20:42,42:32.0,27.79576667
58747,49599,181273,TPS2,f0:98:9d:71:29:06,Level 3,-22.81446422,-43.24717907,42:33.7,42:33.7,2.716116667
58760,49841,182013,TPS2,b0:72:bf:ea:fe:c3,Level 3,-22.81449212,-43.24725871,43:21.9,43:21.9,0
